gene_short_name	Day08_BR1	Day08_BR2	Day08_BR3	Day08_BR4
Migut.H01436	371.8787455	234.4829792	448.4593087	462.2521065
Migut.H02547	151.1544987	121.9370506	104.8478598	110.1912367
Migut.O00289	274.2449003	25.41912746	457.1666395	445.4605027
Migut.C01358	89.51773164	13.23158592	184.6831502	177.6067015
Migut.D00501	211.9829617	156.8717755	365.0179725	379.4272701
Migut.M01805	2569.324285	193.7453843	5448.966953	5203.563315
Migut.J00463	1531.619502	1358.589789	1218.809391	1316.262727
Migut.D00638	2145.073285	2184.951546	2276.613624	2300.440751
Migut.G00514	299.9387597	35.49604335	915.028504	896.8325009
Migut.D00639	934.3309479	1149.14554	751.4293554	763.3792269
Migut.M01356	8342.186977	7892.988569	7361.554974	7267.904404
Migut.M01349	28146.21368	22049.66062	25337.69235	24910.28155
Migut.I00067	1803.806175	1706.006487	1333.801142	1320.246988
Migut.G00697	771.8737995	842.438288	561.3205697	556.1748394
Migut.G00535	1566.850811	763.5063926	1118.657926	1184.138322
Migut.M01354	5617.279926	2903.120646	4944.306857	5035.515869
Migut.N02205	166.9176832	19.7175614	429.532069	430.7772451
Migut.D00637	1108.87228	1198.724827	1289.824743	1324.386438
Migut.F01941	283.5167225	237.1517191	227.2353243	256.8477479
Migut.L01725	43.65614573	30.25990017	75.05077476	69.45231943
Migut.B00852	85.55888137	42.25458471	60.49467115	71.23836275
Migut.M01806	3413.768775	255.6553686	7189.412817	7052.696519
Migut.L00420	45.53098742	28.01101837	81.5747248	73.97786119
Migut.F01732	230.329756	186.5114681	185.3369872	176.5039233
Migut.H00072	863.550184	393.2737657	966.7699631	938.6896741
Migut.F00529	1267.295634	486.2214231	2413.590924	2433.441003
Migut.D00796	6282.276041	2827.697195	6980.515774	7301.874688
Migut.J01089	519.7650017	317.4397828	253.689916	249.5567835
Migut.B00635	2147.988784	1800.163661	1909.747845	1861.726849
Migut.B00635	2147.988784	1800.163661	1909.747845	1861.726849
Migut.H00082	437.8150599	292.0176517	560.7168571	541.8489152
Migut.H00772	1688.379158	1800.51264	1092.747643	1131.448295
Migut.A01016	209.4827996	256.8680543	125.1029025	143.5191607
Migut.I00331	170.1198589	176.7835242	103.8638389	84.09784679
Migut.O00792	191.2316325	193.2217209	107.8585862	120.7447892
Migut.I00852	682.4172691	749.6985721	414.6214953	388.4291448
Migut.I00854	2444.772516	2543.441273	676.042529	718.4166153
Migut.L01615	64.12980632	24.066837	158.6999878	155.5430864
Migut.H00946	201.4090999	198.1222914	156.180542	148.6544732
Migut.I00555	178.2198927	67.01572719	405.4460541	417.1944068
Migut.G00741	1356.748381	812.4915671	1068.708136	1120.497609
